"id","fqdn/ip","port","severity","finding","cve","cwe"
"LOGJAM-common_primes","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-android_70","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-android_81","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_12","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No connection","",""
"clientsimulation-java_8u161","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-go_1178","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
